CustomerKey,First Name,Last Name,Full Name,Gender,DateFirstPurchase,Customer City,Country
11132,Melissa,Richardson,Melissa Richardson,FEMALE,2020-04-09,Langford,Canada
11133,Angela,Griffin,Angela Griffin,FEMALE,2020-12-30,Lake Oswego,United States
11134,Larry,Townsend,Larry Townsend,MALE,2018-05-03,Perth,Australia
11135,Marcus,Harris,Marcus Harris,MALE,2020-04-18,Burlingame,United States
11136,Brianna,Morgan,Brianna Morgan,FEMALE,2020-01-03,Metchosin,Canada
11137,Jasmine,Taylor,Jasmine Taylor,FEMALE,2020-07-31,Spokane,United States
11138,Lauren,Davis,Lauren Davis,FEMALE,2020-09-19,Glendale,United States
11139,Tanya,Moreno,Tanya Moreno,FEMALE,2020-09-14,Cloverdale,Australia
11140,Javier,Alvarez,Javier Alvarez,MALE,2020-03-19,Burbank,United States
11141,Nicole,Ramirez,Nicole Ramirez,FEMALE,2020-05-16,Daly City,United States
11142,Eduardo,Patterson,Eduardo Patterson,MALE,2020-02-13,Langford,Canada
11143,Jonathan,Henderson,Jonathan Henderson,MALE,2020-06-15,Lakewood,United States
11144,Edward,Hernandez,Edward Hernandez,MALE,2020-01-25,Ballard,United States
11145,Jasmine,Coleman,Jasmine Coleman,FEMALE,2020-01-25,Beaverton,United States
11146,Karla,Goel,Karla Goel,FEMALE,2020-02-05,Matraville,Australia
11147,Ernest,Wu,Ernest Wu,MALE,2018-05-13,Warrnambool,Australia
11148,Ross,Vazquez,Ross Vazquez,MALE,2020-03-07,East Brisbane,Australia
11149,Theodore,Gill,Theodore Gill,MALE,2020-06-04,Hervey Bay,Australia
11150,Russell,Shen,Russell Shen,MALE,2020-03-27,Sunbury,Australia
11151,Melinda,Gill,Melinda Gill,FEMALE,2018-05-15,Sydney,Australia
11152,James,Williams,James Williams,MALE,2020-01-09,Puyallup,United States
11153,Angela,James,Angela James,FEMALE,2020-03-29,Renton,United States
11154,Megan,Walker,Megan Walker,FEMALE,2020-01-10,Woodburn,United States
11155,Hunter,Robinson,Hunter Robinson,MALE,2020-01-06,Burbank,United States
11156,Maria,Roberts,Maria Roberts,FEMALE,2020-01-08,Lakewood,United States
11157,Hannah,Long,Hannah Long,FEMALE,2020-07-24,Tacoma,United States
11158,Jason,Wright,Jason Wright,MALE,2020-01-19,San Gabriel,United States
11159,Brianna,Hughes,Brianna Hughes,FEMALE,2020-09-08,Woodland Hills,United States
11160,Maurice,Tang,Maurice Tang,MALE,2020-02-21,Concord,United States
11161,Emily,Wood,Emily Wood,FEMALE,2020-06-01,Concord,United States
11162,Chase,Cox,Chase Cox,MALE,2020-02-18,La Jolla,United States
11163,Gabriel,Wang,Gabriel Wang,MALE,2020-05-01,Spring Valley,United States
11164,Devin,Brooks,Devin Brooks,MALE,2020-04-27,Torrance,United States
11165,Jocelyn,Alexander,Jocelyn Alexander,FEMALE,2020-05-25,Oakland,United States
11166,Ashley,Martinez,Ashley Martinez,FEMALE,2020-10-14,Olympia,United States
11167,Jasmine,Barnes,Jasmine Barnes,FEMALE,2020-01-07,Issaquah,United States
11168,David,Rodriguez,David Rodriguez,MALE,2020-01-15,Oakland,United States
11169,Bryce,Richardson,Bryce Richardson,MALE,2020-05-26,Coronado,United States
11170,Carol,Howard,Carol Howard,FEMALE,2020-08-26,Burien,United States
11171,Jonathan,Hill,Jonathan Hill,MALE,2018-08-20,Woodland Hills,United States
11172,Gabrielle,Adams,Gabrielle Adams,FEMALE,2020-05-03,Lynnwood,United States
11173,Sarah,Thomas,Sarah Thomas,FEMALE,2020-03-02,W. Linn,United States
11174,Nicholas,Robinson,Nicholas Robinson,MALE,2020-07-13,Los Angeles,United States
11175,Luis,Wang,Luis Wang,MALE,2018-08-28,Beverly Hills,United States
11176,Mason,Roberts,Mason Roberts,MALE,2020-02-02,Haney,Canada
11177,Jose,Flores,Jose Flores,MALE,2020-03-29,San Diego,United States
11178,Nathan,Johnson,Nathan Johnson,MALE,2020-02-21,Lakewood,United States
11179,Molly,Rodriguez,Molly Rodriguez,FEMALE,2020-03-12,Beverly Hills,United States
11180,April,Anand,April Anand,FEMALE,2020-03-17,Chula Vista,United States
11181,Devin,Martin,Devin Martin,MALE,2020-05-07,Los Angeles,United States
11182,Stephanie,Torres,Stephanie Torres,FEMALE,2020-08-28,Sedro Woolley,United States
11183,Jasmine,Lee,Jasmine Lee,FEMALE,2020-04-30,Santa Cruz,United States
11184,Meghan,Hernandez,Meghan Hernandez,FEMALE,2020-08-10,Concord,United States
11185,Ashley,Henderson,Ashley Henderson,FEMALE,2020-02-21,Metchosin,Canada
11186,Sarah,Price,Sarah Price,FEMALE,2020-10-18,Palo Alto,United States
11187,Jennifer,Cooper,Jennifer Cooper,FEMALE,2020-04-03,Burien,United States
11188,Catherine,Morris,Catherine Morris,FEMALE,2020-11-01,San Gabriel,United States
11189,Lawrence,Blanco,Lawrence Blanco,MALE,2018-08-26,Bellingham,United States
11190,Carson,Bryant,Carson Bryant,MALE,2020-08-28,Beverly Hills,United States
11191,Kristi,Perez,Kristi Perez,FEMALE,2018-08-11,Colma,United States
11192,James,Brown,James Brown,MALE,2020-06-23,Seattle,United States
11193,Ian,Gray,Ian Gray,MALE,2020-02-25,Woodburn,United States
11194,Jacqueline,Price,Jacqueline Price,FEMALE,2020-03-13,Palo Alto,United States
11195,Megan,Henderson,Megan Henderson,FEMALE,2020-04-14,Renton,United States
11196,Alfredo,Romero,Alfredo Romero,MALE,2020-03-03,Beaverton,United States
11197,Andrea,Morris,Andrea Morris,FEMALE,2020-05-02,Seattle,United States
11198,Brooke,Sanders,Brooke Sanders,FEMALE,2020-02-05,Santa Cruz,United States
11199,Jacqueline,Bennett,Jacqueline Bennett,FEMALE,2020-03-18,Burlingame,United States
11200,Jason,Griffin,Jason Griffin,MALE,2020-02-07,Victoria,Canada
11201,Amanda,Foster,Amanda Foster,FEMALE,2020-07-01,Santa Monica,United States
11202,Alexia,Price,Alexia Price,FEMALE,2020-09-15,Lakewood,United States
11203,Luis,Diaz,Luis Diaz,MALE,2020-02-20,Port Hammond,Canada
11204,Destiny,Rivera,Destiny Rivera,FEMALE,2020-08-09,Beaverton,United States
11205,Abby,Fernandez,Abby Fernandez,FEMALE,2020-07-27,Burien,United States
11206,Blake,Flores,Blake Flores,MALE,2020-05-11,Lynnwood,United States
11207,Danielle,Cox,Danielle Cox,FEMALE,2020-01-31,Renton,United States
11208,Maria,Reed,Maria Reed,FEMALE,2020-03-04,Glendale,United States
11209,Allison,Evans,Allison Evans,FEMALE,2020-03-25,Lincoln Acres,United States
11210,Edward,Wood,Edward Wood,MALE,2020-05-06,West Covina,United States
11211,Samantha,Russell,Samantha Russell,FEMALE,2020-02-01,Haney,Canada
11212,Chloe,Campbell,Chloe Campbell,FEMALE,2020-01-30,Metchosin,Canada
11213,Stephanie,Murphy,Stephanie Murphy,FEMALE,2020-03-28,Edmonds,United States
11214,Charles,Miller,Charles Miller,MALE,2020-08-14,Milwaukie,United States
11215,Ana,Perry,Ana Perry,FEMALE,2020-02-15,Royal Oak,Canada
11216,Jasmine,Torres,Jasmine Torres,FEMALE,2018-08-15,Portland,United States
11217,Natalie,Adams,Natalie Adams,FEMALE,2018-08-10,Portland,United States
11218,Olivia,Brown,Olivia Brown,FEMALE,2020-02-28,Tacoma,United States
11219,Charles,Cook,Charles Cook,MALE,2020-10-29,Woodburn,United States
11220,Erica,Huang,Erica Huang,FEMALE,2020-03-14,Colma,United States
11221,Nathan,Perry,Nathan Perry,MALE,2020-04-07,Lakewood,United States
11222,Alexandra,Rivera,Alexandra Rivera,FEMALE,2020-11-01,Santa Monica,United States
11223,Hailey,Patterson,Hailey Patterson,FEMALE,2020-01-29,Langley,Canada
11224,Tiffany,Li,Tiffany Li,FEMALE,2018-08-07,Burien,United States
11225,Madison,Lee,Madison Lee,FEMALE,2020-06-22,Renton,United States
11226,Sydney,Ross,Sydney Ross,FEMALE,2020-02-21,W. Linn,United States
11227,Marshall,Chavez,Marshall Chavez,MALE,2018-08-03,Colma,United States
11228,Ashley,Jones,Ashley Jones,FEMALE,2020-10-25,El Cajon,United States
11229,Adrian,Stewart,Adrian Stewart,MALE,2020-07-27,Redwood City,United States
11230,Amber,Turner,Amber Turner,FEMALE,2020-07-16,Santa Monica,United States
11231,Dennis,Zhang,Dennis Zhang,MALE,2020-02-10,Bremerton,United States
11232,Hailey,Bryant,Hailey Bryant,FEMALE,2020-09-20,Everett,United States
11233,Todd,Li,Todd Li,MALE,2020-02-08,Berkeley,United States
11234,Anna,Griffin,Anna Griffin,FEMALE,2020-02-08,Long Beach,United States
11235,Angel,Stewart,Angel Stewart,MALE,2020-07-04,Ballard,United States
11236,Jeremy,Butler,Jeremy Butler,MALE,2020-10-03,Bellingham,United States
11237,Clarence,Anand,Clarence Anand,MALE,2018-09-05,Solingen,Germany
11238,Mayra,Prasad,Mayra Prasad,FEMALE,2018-01-06,Birmingham,United Kingdom
11239,Latoya,Goel,Latoya Goel,FEMALE,2018-01-19,London,United Kingdom
11240,Anne,Hernandez,Anne Hernandez,FEMALE,2018-02-27,Watford,United Kingdom
11241,Lisa,Cai,Lisa Cai,FEMALE,2019-09-10,Les Ulis,France
11242,Larry,Munoz,Larry Munoz,MALE,2019-09-19,Versailles,France
11243,Robin,Alvarez,Robin Alvarez,FEMALE,2018-02-21,Esher-Molesey,United Kingdom
11244,Alexis,Coleman,Alexis Coleman,FEMALE,2018-02-12,Runcorn,United Kingdom
11245,Ricky,Vazquez,Ricky Vazquez,MALE,2018-09-26,Hamburg,Germany
11246,Latasha,Rubio,Latasha Rubio,FEMALE,2018-10-03,Hamburg,Germany
11247,Claudia,Zhou,Claudia Zhou,FEMALE,2018-02-18,Lancaster,United Kingdom
11248,Tristan,Alexander,Tristan Alexander,MALE,2020-07-14,Saint-Denis,France
11249,Cindy,Patel,Cindy Patel,FEMALE,2018-10-09,Sulzbach Taunus,Germany
11250,Shannon,Liu,Shannon Liu,FEMALE,2018-03-17,Woolston,United Kingdom
11251,Xavier,Long,Xavier Long,MALE,2020-10-18,Haney,Canada
11252,Nicholas,Thompson,Nicholas Thompson,MALE,2018-08-14,Lemon Grove,United States
11253,José,Hernandez,José Hernandez,MALE,2020-03-01,Victoria,Canada
11254,Johnathan,Vance,Johnathan Vance,MALE,2020-11-23,Burien,United States
11255,Colin,Lin,Colin Lin,MALE,2020-02-23,Burien,United States
11256,Katelyn,Hernandez,Katelyn Hernandez,FEMALE,2020-04-15,Lynnwood,United States
11257,Jacqueline,Powell,Jacqueline Powell,FEMALE,2018-08-24,Newport Beach,United States
11258,Xavier,Hill,Xavier Hill,MALE,2020-05-21,Palo Alto,United States
11259,Victoria,Stewart,Victoria Stewart,FEMALE,2018-09-04,Salem,United States
11260,Katelyn,Kelly,Katelyn Kelly,FEMALE,2020-02-05,Burlingame,United States
11261,Stephanie,Collins,Stephanie Collins,FEMALE,2018-09-27,San Diego,United States
11262,Jennifer,Simmons,Jennifer Simmons,FEMALE,2020-02-27,Port Hammond,Canada
11263,Trinity,Richardson,Trinity Richardson,FEMALE,2018-08-29,Burien,United States
11264,Eduardo,Martin,Eduardo Martin,MALE,2020-01-02,Issaquah,United States
11265,Elizabeth,Jones,Elizabeth Jones,FEMALE,2020-01-03,Kirkland,United States
11266,Taylor,Howard,Taylor Howard,FEMALE,2018-09-10,Port Orchard,United States
11267,David,Diaz,David Diaz,MALE,2018-09-17,Burlingame,United States
11268,Katelyn,Carter,Katelyn Carter,FEMALE,2020-05-29,Coronado,United States
11269,Ryan,Foster,Ryan Foster,MALE,2020-08-22,Daly City,United States
11270,Robert,Lee,Robert Lee,MALE,2018-09-10,Lakewood,United States
11271,Danielle,Reed,Danielle Reed,FEMALE,2018-09-27,San Francisco,United States
11272,Lauren,Martinez,Lauren Martinez,FEMALE,2018-09-19,Beverly Hills,United States
11273,Nathan,Lal,Nathan Lal,MALE,2020-05-14,La Jolla,United States
11274,Kyle,Foster,Kyle Foster,MALE,2018-08-29,Bellingham,United States
11275,Jenny,Rai,Jenny Rai,FEMALE,2018-08-30,Colma,United States
11276,Nancy,Chapman,Nancy Chapman,FEMALE,2020-01-29,Cliffside,Canada
11277,Charles,Jackson,Charles Jackson,MALE,2020-02-02,Royal Oak,Canada
11278,Jonathan,Phillips,Jonathan Phillips,MALE,2018-09-16,Edmonds,United States
11279,Amanda,Cook,Amanda Cook,FEMALE,2020-03-03,Everett,United States
11280,Robert,Collins,Robert Collins,MALE,2020-07-01,Lynnwood,United States
11281,Megan,Barnes,Megan Barnes,FEMALE,2018-09-13,Burbank,United States
11282,Christian,Thomas,Christian Thomas,MALE,2018-08-31,Burien,United States
11283,Arturo,Lal,Arturo Lal,MALE,2020-05-29,Berkeley,United States
11284,Theresa,Serrano,Theresa Serrano,FEMALE,2020-02-06,Chula Vista,United States
11285,Jeremy,Anderson,Jeremy Anderson,MALE,2020-07-27,Fremont,United States
11286,Hunter,Griffin,Hunter Griffin,MALE,2018-09-21,Torrance,United States
11287,Henry,Garcia,Henry Garcia,MALE,2020-01-29,Cliffside,Canada
11288,Cindy,Sanchez,Cindy Sanchez,FEMALE,2020-03-05,Burbank,United States
11289,Maria,Carter,Maria Carter,FEMALE,2018-09-08,Downey,United States
11290,Katelyn,Sanchez,Katelyn Sanchez,FEMALE,2018-09-20,Lakewood,United States
11291,Jenna,Wright,Jenna Wright,FEMALE,2018-09-04,Lemon Grove,United States
11292,Seth,Phillips,Seth Phillips,MALE,2018-09-15,San Gabriel,United States
11293,Luke,Long,Luke Long,MALE,2020-02-24,Port Orchard,United States
11294,Dalton,Clark,Dalton Clark,MALE,2020-09-25,Issaquah,United States
11295,Taylor,Lewis,Taylor Lewis,FEMALE,2018-09-25,Concord,United States
11296,Haley,Richardson,Haley Richardson,FEMALE,2018-09-01,Everett,United States
11297,Noah,Coleman,Noah Coleman,MALE,2018-09-26,Burbank,United States
11298,Jon,Luo,Jon Luo,MALE,2018-09-12,Chula Vista,United States
11299,Orlando,Vazquez,Orlando Vazquez,MALE,2018-09-26,Burbank,United States
11300,Fernando,Barnes,Fernando Barnes,MALE,2020-01-31,N. Vancouver,Canada
11301,Cameron,Rodriguez,Cameron Rodriguez,MALE,2020-06-09,Ballard,United States
11302,Spencer,Russell,Spencer Russell,MALE,2018-09-06,Corvallis,United States
11303,Julia,Coleman,Julia Coleman,FEMALE,2018-09-02,Edmonds,United States
11304,Julia,Garcia,Julia Garcia,FEMALE,2020-03-20,Portland,United States
11305,Sean,Evans,Sean Evans,MALE,2020-03-25,Chula Vista,United States
11306,Micah,Zhou,Micah Zhou,MALE,2020-06-30,Coronado,United States
11307,Hunter,Rodriguez,Hunter Rodriguez,MALE,2018-09-04,Daly City,United States
11308,Ian,Gonzales,Ian Gonzales,MALE,2020-09-07,Oregon City,United States
11309,Victoria,Lewis,Victoria Lewis,FEMALE,2020-07-09,Beaverton,United States
11310,Erin,Sanders,Erin Sanders,FEMALE,2020-08-12,San Francisco,United States
11311,Gabrielle,Lopez,Gabrielle Lopez,FEMALE,2020-04-18,Lynnwood,United States
11312,Sara,Richardson,Sara Richardson,FEMALE,2020-05-17,Lynnwood,United States
11313,Trevor,Jenkins,Trevor Jenkins,MALE,2020-05-07,Port Orchard,United States
11314,Mya,Flores,Mya Flores,FEMALE,2020-02-25,Issaquah,United States
11315,Hailey,Ward,Hailey Ward,FEMALE,2020-05-20,Port Orchard,United States
11316,Luke,Allen,Luke Allen,MALE,2020-01-12,Langford,Canada
11317,Victoria,Russell,Victoria Russell,FEMALE,2018-09-01,Salem,United States
11318,Jessica,Wilson,Jessica Wilson,FEMALE,2020-10-17,Edmonds,United States
11319,Jade,Bailey,Jade Bailey,FEMALE,2018-09-09,Oakland,United States
11320,Morgan,Hill,Morgan Hill,FEMALE,2020-06-15,Glendale,United States
11321,Terrance,Raman,Terrance Raman,MALE,2020-02-23,Burien,United States
11322,Sydney,Garcia,Sydney Garcia,FEMALE,2020-03-24,Bremerton,United States
11323,Jose,Patterson,Jose Patterson,MALE,2018-09-10,Daly City,United States
11324,Zachary,Anderson,Zachary Anderson,MALE,2018-09-26,Glendale,United States
11325,Elijah,Ross,Elijah Ross,MALE,2018-09-19,Seattle,United States
11326,Rafael,Xie,Rafael Xie,MALE,2018-09-15,Beverly Hills,United States
11327,Jaime,Moreno,Jaime Moreno,MALE,2018-09-26,Burbank,United States
11328,Julian,Griffin,Julian Griffin,MALE,2020-01-05,Newton,Canada
11329,Andy,Alvarez,Andy Alvarez,MALE,2018-09-25,Concord,United States
